"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6463","Form","chromium","Thu Jan 23 08:45:24 ICT 2025","passed","Thu Jan 23 08:45:31 ICT 2025","Shop Case","acardemy_shop.spec.js","",""
"","462","Login with problem user","chromium","Thu Jan 23 08:45:34 ICT 2025","passed","Thu Jan 23 08:45:35 ICT 2025","Sauce demo > Scenario Login","saucedemo.spec.js","",""
"","861","Login with valid credentials","chromium","Thu Jan 23 08:45:33 ICT 2025","passed","Thu Jan 23 08:45:33 ICT 2025","Sauce demo > Scenario Login","saucedemo.spec.js","",""
"","469","Login with visual_user","chromium","Thu Jan 23 08:45:41 ICT 2025","passed","Thu Jan 23 08:45:41 ICT 2025","Sauce demo > Scenario Login","saucedemo.spec.js","",""
"","880","Add product to cart","chromium","Thu Jan 23 08:45:41 ICT 2025","passed","Thu Jan 23 08:45:42 ICT 2025","Sauce demo > Scenario Add to Cart","saucedemo.spec.js","",""
"","904","Checkout added product","chromium","Thu Jan 23 08:45:42 ICT 2025","passed","Thu Jan 23 08:45:43 ICT 2025","Sauce demo > Scenario Checkout","saucedemo.spec.js","",""
"","5424","Login with performance glitch user","chromium","Thu Jan 23 08:45:35 ICT 2025","passed","Thu Jan 23 08:45:40 ICT 2025","Sauce demo > Scenario Login","saucedemo.spec.js","",""
"","429","Login with invalid credentials","chromium","Thu Jan 23 08:45:34 ICT 2025","passed","Thu Jan 23 08:45:34 ICT 2025","Sauce demo > Scenario Login","saucedemo.spec.js","",""
"","524","Login with error user","chromium","Thu Jan 23 08:45:40 ICT 2025","passed","Thu Jan 23 08:45:41 ICT 2025","Sauce demo > Scenario Login","saucedemo.spec.js","",""
"","915","has title","chromium","Thu Jan 23 08:45:31 ICT 2025","passed","Thu Jan 23 08:45:32 ICT 2025","","example.spec.js","",""
"","2258","Form","chromium","Thu Jan 23 08:45:22 ICT 2025","passed","Thu Jan 23 08:45:24 ICT 2025","Form Test Case","academy_form.spec.js","",""
"","35034","Form","chromium","Wed Jan 22 13:38:55 ICT 2025","broken","Wed Jan 22 13:39:30 ICT 2025","Form Test Case","academy_shop.spec.js","",""
"","10871","Form","chromium","Wed Jan 22 10:39:45 ICT 2025","passed","Wed Jan 22 10:39:55 ICT 2025","Form Test Case","academy.spec.js","",""
"","806","get started link","chromium","Thu Jan 23 08:45:32 ICT 2025","passed","Thu Jan 23 08:45:33 ICT 2025","","example.spec.js","",""
"","395","Login Locked User","chromium","Thu Jan 23 08:45:34 ICT 2025","passed","Thu Jan 23 08:45:34 ICT 2025","Sauce demo > Scenario Login","saucedemo.spec.js","",""
